firstName,lastName,age,team,position,jerseyNumber
Ravid,Kestle,44,Flames,G,28
Wallie,Mendes,33,Canadiens,C,42
Christie,Penwright,31,Leafs,LD,51
Arnoldo,Mattinson,41,Jets,G,0
Waverley,Ballefant,40,Leafs,RD,16
Jeffie,Ventura,24,Jets,RD,96
Ricky,Hackwell,30,Canucks,RD,32
Dew,Maggill'Andreis,24,Canucks,LW,73
Byrom,Blincko,41,Canucks,G,33
Blaine,Barnbrook,43,Canadiens,C,20
Gregorius,Reape,29,Leafs,LW,52
Felipe,Cutress,34,Senators,G,1
Shaw,Oakwell,36,Oilers,C,41
Bernarr,Tomasino,18,Senators,G,45
Sunny,Bankes,23,Canadiens,RD,75
Bobby,Phinn,40,Leafs,RD,13
Teddie,De Meis,37,Flames,C,36
Lauritz,Vowden,35,Flames,LD,57
Denis,Simonutti,25,Jets,RD,28
Otho,Freemantle,22,Jets,RD,98
Thane,Mattingly,23,Senators,C,74
Kelsey,Goodier,31,Flames,C,8
Fraze,Bernucci,32,Canucks,RW,42
Allan,Mawdsley,44,Jets,LD,74
Kendricks,Sallarie,33,Jets,C,73
Robers,Vevers,40,Canadiens,G,71
Aurthur,Ribchester,21,Canucks,G,6
Demetri,Slingsby,18,Canucks,RW,62
Sterling,Tullett,37,Senators,RW,99
Jammal,Olekhov,27,Senators,LW,66
Noby,Leak,35,Canucks,RD,71
Chrissie,Kluss,32,Canadiens,G,85
Cobb,Kingcote,33,Jets,LD,59
Weider,Caven,44,Senators,RD,98
Sonny,Sayward,24,Leafs,G,16
Hanson,Tickle,23,Flames,G,85
Jamison,MacDermid,28,Leafs,LW,48
Nappy,MacCleay,30,Senators,RD,12
Jasen,Sneller,45,Jets,LD,53
Schuyler,McCrea,36,Flames,RW,74
Max,Diss,18,Oilers,LD,58
Boniface,Olpin,32,Flames,LW,13
Garvey,Norheny,22,Canucks,RD,17
Des,Caudell,38,Jets,LW,0
Georgy,Bruyett,19,Flames,G,36
Vito,Dykas,42,Leafs,G,99
Grange,Vaughton,45,Leafs,RD,92
Joey,Culpen,32,Canucks,RD,51
Balduin,Mattack,34,Flames,C,69
Patric,Titterton,18,Canadiens,RW,28
Darb,Jacqueminet,27,Leafs,RW,52
Parker,Minmagh,39,Jets,C,12
Dore,Arnholz,28,Canucks,LW,8
Mano,Crossgrove,39,Jets,C,84
Wilfred,McIver,40,Canucks,LW,95
Major,Ivashnikov,43,Flames,LW,8
Barri,Eton,44,Flames,RD,2
Ralf,Finlator,35,Canadiens,RW,25
Renard,Wigan,21,Canucks,RW,9
Al,Shapiro,41,Leafs,RW,92
Arin,Clyburn,37,Leafs,C,9
Gustavo,Mengue,32,Jets,RD,64
Bailey,Blesing,30,Canadiens,RW,49
Patin,Matskiv,23,Leafs,LD,18
Frederico,Biasetti,42,Flames,G,19
Codi,McLarty,18,Oilers,LD,30
Shamus,Bullock,33,Canucks,C,31
Earvin,Tunna,23,Oilers,C,20
Kele,Trevear,38,Flames,C,93
Luke,Crunkhorn,40,Senators,RW,8
Archibold,Fenech,40,Canucks,C,36
Redd,List,44,Senators,RW,67
Gael,Pickersgill,28,Canucks,C,57
Richie,Camsey,34,Leafs,G,79
Linc,Lacaze,44,Oilers,LW,2
Shaine,Village,22,Flames,RD,19
Rudolfo,Crooks,45,Leafs,LW,13
Teodoro,Gillebride,25,Canucks,LD,1
Cheston,Stopps,33,Jets,G,3
Giles,Suett,21,Canadiens,RD,5
Caldwell,Pote,29,Senators,C,39
Antone,Caush,44,Canucks,RD,17
Kort,Gockelen,18,Oilers,G,83
Timoteo,Morrieson,35,Canadiens,RD,80
Simone,Bruhke,29,Canucks,C,0
Arnold,Sumshon,26,Leafs,RW,14
Burlie,Spinozzi,21,Jets,LD,20
Samuel,Pitt,32,Canadiens,G,34
Jackie,Quaintance,28,Canadiens,LW,60
Edvard,Gooderham,36,Jets,RD,8
Maurice,Grannell,22,Canucks,LD,76
Deck,Castaner,39,Jets,RD,55
Micheil,Perillo,40,Oilers,LW,52
Herbert,Sibley,35,Oilers,LD,90
Wildon,McNae,44,Flames,G,25
Hube,Dufaur,43,Senators,RD,8
Devland,Janoschek,26,Flames,LW,79
Courtnay,Maskew,36,Canucks,RD,37
Marion,Jaggi,45,Canucks,RW,47
Creigh,Filson,43,Oilers,RW,28
